FSTVL_NM,OPAR_NM,FSTVL_CN,TEL_NO,HMPG_URL,FCLTY_ROAD_NM_ADDR,LNM_ADDR,LA,LO,BHF_CD,BHF_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대구화교중화문화축제,종로 화교소학교 및 화교거리,무대행사 및 거리행사+ 전시행사 등,536612177,,대구광역시 중구 중앙대로79길 31 (종로2가),대구광역시 중구 종로2가 12,35.86904475,128.5920612,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대덕제 대구앞산축제,앞산,앞산트레일(팸)투어+앞산콘서트+앞산이야기극 등(일정 미정),536643262,http://www.nam.daegu.kr/,대구광역시 남구 이천로 51(봉덕동),,35.84594995,128.5975989,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대봉웨딩거리축제,대봉웨딩거리,웨딩 관련 상품체험+길거리 공연 등,536612645,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,143,대구,20221101,11,17.7,5.2,24.3,-3.2,20221112,20221130,1014.7,65,1.7
대전사이언스페스티벌,대전컨벤션센터 제2전시장+ 엑스포과학공원+ 대덕특구+ 원도심 일원,"기초과학체험,미래과학 전시체험,과학문화행사,부대 및 연계행사",7077343526,http://www.djsf.kr/index.php,대전광역시 유성구 엑스포로 107,,,,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
대전효문화뿌리축제,뿌리공원 및 원도심 일원,효로 통하는 세상 「효통 1번가」+개·폐막식+문중(문화)·체험(참여) 주제공연 프로그램+어린이 성씨 놀이터+각종 온·오프라인 참여 이벤트 등,426066292,https://www.djjunggu.go.kr/hyo-ppuri/index.do,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
대전효문화뿌리축제,뿌리공원 및 원도심 일원,"효로 통하는 세상(孝通), 「효통로 1번지」, 개폐막식, 문중(문화)체험(참여)프로그램, 주제공연 및 각종 온오프라인 참여 이벤트 등",426066292,https://www.djjunggu.go.kr/hyo-ppuri/index.do,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
대청호가그린영화제,대청공원 일원,개·폐막식(시상식 포함)+후보작상영회 등,426086732,,대전광역시 대덕구 대청로 607,,36.47362538,127.4735679,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
대청호대덕뮤직패스티벌,대청공원 일원,전국청소년 가요제+뮤직페스티벌 등,426086732,,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동 57-1,36.47362538,127.4735679,133,대전,20221101,9.5,16.6,3.8,25.3,-5.5,20221112,20221130,1013.4,64,1.5
대한민국 국향대전,함평엑스포공원,"K-문화, 함평 국화에 담다",613202238,https://www.hpftf.or.kr/,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,261,해남,20221101,10.8,18.2,4,22.5,-1.3,20221111,20221127,1019.6,76,1.6
대한민국 마한문화제,국립나주박물관,2천년 마한문화를 재조명하는 역사 문화 축제,613398722,http://www.naju.go.kr/tour/,전라남도 나주시 반남면 고분로 747,전라남도 나주시 반남면 신촌리 277,34.91485483,126.6589031,156,광주,20221101,11.8,18.1,6.8,24.4,-1.7,20221111,20221130,1012.9,62,1
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",과학 체험· 전시·교육·이벤트 마당 등,220912316,http://science.dobong.go.kr,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
도봉구 등축제,우이천,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",220912254,,서울특별시 도봉구,,37.6617028,127.0382005,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
도봉구민 건강축제,"도봉구청, 중랑천변","도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",220914422,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
도봉산 산사축제,도봉산 일대,"산사음악회, 영산재, 사찰음식전 등",29054026,,서울특별시 도봉구,,37.6864694,127.033968,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
도봉서원 춘·추향제,도봉서원,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",29054026,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,108,서울,20221101,10,15.4,5.6,22.1,-8.1,20221111,20221130,1010.7,65,2.1
도솔산지구전투 전승행사,도솔산전적비,추모식,334802230,https://www.ygtour.kr/Home/H30000/H30100/placeDetail?place_no=286&viewType=gallery&viewClass=tour&page=1&pageSize=12&order_column=1&place_class=P012,강원도 양구군 양구읍 박수근로 366-33,강원도 양구군 양구읍 상리 399,38.10632441,127.981517,105,강릉,20221101,12.7,18.3,8.2,26.5,-3,20221112,20221130,1016.7,55,2.2
도시농업 어울림 한마당,신대도시텃밭,"도시농업 체험행사, 부스 운영 등",617498684,,전라남도 순천시 해룡면 매안로 162,,,,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
돗자리 야외 영화제,광주 동구 화산로 318-26 용산체육공원,야외영화 상영,626082413,https://www.donggu.kr/menu.es?mid=a90405000000,광주광역시 동구 서남로 1(서석동),광주광역시 동구 서석동 31,35.1461417,126.9230932,156,광주,20221101,11.8,18.1,6.8,24.4,-1.7,20221111,20221130,1012.9,62,1
동강국제사진제,동강사진박물관,동강사진상+워크숍+사진예술전시,333756353,http://www.ywcf.com/,강원도 영월군 영월읍 영월로 1909-10,강원도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511,121,영월,20221101,7.5,15.4,1.6,22,-5.7,20221112,20221130,992.8,71,0.7
