FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
허균문화제,37.7919383,128.9092743,강원도,강릉시,초당동,초당동,강원도 강릉시 난설헌로193번길 1-16,2020-09~2020-09,10.0,1.0
허준축제,37.5675986747,126.8537291459,서울특별시,강서구,가양동,가양제2동,서울특별시 강서구 허준로5길 42,2020-01~2020-09,1880.0,5.0
현인가요제,35.07682117,129.0180502,부산광역시,서구,암남동,암남동,부산광역시 서구 송도해변로 100,2020-01~2020-09,1980.0,5.0
형형색색달구벌관등놀이,35.856195715,128.5897529356,대구광역시,남구,대명동,대명2동,대구광역시 남구 중앙대로51길 11,2020-01~2020-09,8518.0,5.0
호미곶한민족해맞이축전,36.0767583861,129.56605883,경상북도,포항시 남구,호미곶면,호미곶면,경상북도 포항시 남구 호미곶면 해맞이로 136,2020-01~2020-09,940.0,5.0
홍길동축제,35.320062,126.727118,전라남도,장성군,황룡면,황룡면,전라남도 장성군 황룡면 홍길동로 445-12,2020-01~2020-09,430.0,5.0
홍성남당항대하축제,36.53503195,126.467178,충청남도,홍성군,서부면,서부면,충청남도 홍성군 서부면 남당항로213번길 25-62,2020-01~2020-09,13130.0,5.0
홍성남당항새조개축제,36.5394495652161,126.472108269936,충청남도,홍성군,서부면,서부면,충청남도 홍성군 서부면 남당항로213번길 25-62,2020-01~2020-09,167870.0,5.0
홍성역사인물축제,36.6017196006,126.6613896244,충청남도,홍성군,홍성읍,홍성읍,충청남도 홍성군 홍성읍 아문길 27,2020-01~2020-09,2310.0,5.0
화성뱃놀이축제,37.1869636,126.6522902,경기도,화성시,서신면,서신면,경기도 화성시 서신면 전곡항로 21-4,2020-01~2020-09,4500.0,5.0
화순 국화향연,35.0583139727,126.9851616952,전라남도,화순군,화순읍,화순읍,전라남도 화순군 화순읍 진각로 85,2020-01~2020-09,2580.0,5.0
